Epoch 76: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 77: Loss: 0.000182, Rec Loss: 0.000182, FC Loss: 0.000000
Epoch 78: Loss: 0.000194, Rec Loss: 0.000193, FC Loss: 0.000000
Epoch 79: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 80: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 81: Loss: 0.000188, Rec Loss: 0.000187, FC Loss: 0.000000
Epoch 82: Loss: 0.000171, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 83: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 84: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 85: Loss: 0.000179, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 86: Loss: 0.000190, Rec Loss: 0.000189, FC Loss: 0.000000
Epoch 87: Loss: 0.000166, Rec Loss: 0.000166, FC Loss: 0.000000
Epoch 88: Loss: 0.000213, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 89: Loss: 0.000186, Rec Loss: 0.000186, FC Loss: 0.000000
Epoch 90: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 91: Loss: 0.000178, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 92: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 93: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 94: Loss: 0.000177, Rec Loss: 0.000177, FC Loss: 0.000000
Epoch 95: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 96: Loss: 0.000174, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 97: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 98: Loss: 0.000173, Rec Loss: 0.000173, FC Loss: 0.000000
Epoch 99: Loss: 0.000173, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 100: Loss: 0.000187, Rec Loss: 0.000187, FC Loss: 0.000000
Epoch 101: Loss: 0.000180, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 102: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 103: Loss: 0.000171, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 104: Loss: 0.000201, Rec Loss: 0.000201, FC Loss: 0.000000
Epoch 105: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 106: Loss: 0.000171, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 107: Loss: 0.000171, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 108: Loss: 0.000164, Rec Loss: 0.000164, FC Loss: 0.000000
Epoch 109: Loss: 0.000169, Rec Loss: 0.000169, FC Loss: 0.000000
Epoch 110: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 111: Loss: 0.000191, Rec Loss: 0.000191, FC Loss: 0.000000
Epoch 112: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 113: Loss: 0.000178, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 114: Loss: 0.000164, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 115: Loss: 0.000179, Rec Loss: 0.000179, FC Loss: 0.000000
Epoch 116: Loss: 0.000213, Rec Loss: 0.000213, FC Loss: 0.000000
Epoch 117: Loss: 0.000159, Rec Loss: 0.000158, FC Loss: 0.000000
Epoch 118: Loss: 0.000167, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 119: Loss: 0.000168, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 120: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 121: Loss: 0.000216, Rec Loss: 0.000215, FC Loss: 0.000000
Epoch 122: Loss: 0.000162, Rec Loss: 0.000162, FC Loss: 0.000000
Epoch 123: Loss: 0.000158, Rec Loss: 0.000158, FC Loss: 0.000000
Epoch 124: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 125: Loss: 0.000188, Rec Loss: 0.000188, FC Loss: 0.000000
Epoch 126: Loss: 0.000174, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 127: Loss: 0.000180, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 128: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 129: Loss: 0.000169, Rec Loss: 0.000169, FC Loss: 0.000000
Epoch 130: Loss: 0.000174, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 131: Loss: 0.000202, Rec Loss: 0.000201, FC Loss: 0.000000
Epoch 132: Loss: 0.000161, Rec Loss: 0.000161, FC Loss: 0.000000
Epoch 133: Loss: 0.000180, Rec Loss: 0.000179, FC Loss: 0.000000
Epoch 134: Loss: 0.000169, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 135: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 136: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
