Epoch 76: Loss: 0.000546, Rec Loss: 0.000546, FC Loss: 0.000000
Epoch 77: Loss: 0.000539, Rec Loss: 0.000539, FC Loss: 0.000000
Epoch 78: Loss: 0.000554, Rec Loss: 0.000554, FC Loss: 0.000000
Epoch 79: Loss: 0.000504, Rec Loss: 0.000504, FC Loss: 0.000000
Epoch 80: Loss: 0.000496, Rec Loss: 0.000496, FC Loss: 0.000000
Epoch 81: Loss: 0.000557, Rec Loss: 0.000557, FC Loss: 0.000000
Epoch 82: Loss: 0.000484, Rec Loss: 0.000484, FC Loss: 0.000000
Epoch 83: Loss: 0.000501, Rec Loss: 0.000501, FC Loss: 0.000000
Epoch 84: Loss: 0.000519, Rec Loss: 0.000519, FC Loss: 0.000000
Epoch 85: Loss: 0.000484, Rec Loss: 0.000484, FC Loss: 0.000000
Epoch 86: Loss: 0.000513, Rec Loss: 0.000513, FC Loss: 0.000000
Epoch 87: Loss: 0.000520, Rec Loss: 0.000520, FC Loss: 0.000000
Epoch 88: Loss: 0.000481, Rec Loss: 0.000481, FC Loss: 0.000000
Epoch 89: Loss: 0.000470, Rec Loss: 0.000470, FC Loss: 0.000000
Epoch 90: Loss: 0.000578, Rec Loss: 0.000578, FC Loss: 0.000000
Epoch 91: Loss: 0.000448, Rec Loss: 0.000448, FC Loss: 0.000000
Epoch 92: Loss: 0.000474, Rec Loss: 0.000474, FC Loss: 0.000000
Epoch 93: Loss: 0.000488, Rec Loss: 0.000488, FC Loss: 0.000000
Epoch 94: Loss: 0.000497, Rec Loss: 0.000497, FC Loss: 0.000000
Epoch 95: Loss: 0.000515, Rec Loss: 0.000515, FC Loss: 0.000000
Epoch 96: Loss: 0.000516, Rec Loss: 0.000516, FC Loss: 0.000000
Epoch 97: Loss: 0.000442, Rec Loss: 0.000442, FC Loss: 0.000000
Epoch 98: Loss: 0.000469, Rec Loss: 0.000469, FC Loss: 0.000000
Epoch 99: Loss: 0.000530, Rec Loss: 0.000530, FC Loss: 0.000000
Epoch 100: Loss: 0.000441, Rec Loss: 0.000441, FC Loss: 0.000000
Epoch 101: Loss: 0.000475, Rec Loss: 0.000475, FC Loss: 0.000000
Epoch 102: Loss: 0.000462, Rec Loss: 0.000462, FC Loss: 0.000000
Epoch 103: Loss: 0.000491, Rec Loss: 0.000491, FC Loss: 0.000000
Epoch 104: Loss: 0.000491, Rec Loss: 0.000491, FC Loss: 0.000000
Epoch 105: Loss: 0.000436, Rec Loss: 0.000436, FC Loss: 0.000000
Epoch 106: Loss: 0.000452, Rec Loss: 0.000452, FC Loss: 0.000000
Epoch 107: Loss: 0.000468, Rec Loss: 0.000468, FC Loss: 0.000000
Epoch 108: Loss: 0.000470, Rec Loss: 0.000470, FC Loss: 0.000000
Epoch 109: Loss: 0.000437, Rec Loss: 0.000437, FC Loss: 0.000000
Epoch 110: Loss: 0.000459, Rec Loss: 0.000459, FC Loss: 0.000000
Epoch 111: Loss: 0.000442, Rec Loss: 0.000442, FC Loss: 0.000000
Epoch 112: Loss: 0.000461, Rec Loss: 0.000461, FC Loss: 0.000000
Epoch 113: Loss: 0.000449, Rec Loss: 0.000449, FC Loss: 0.000000
Epoch 114: Loss: 0.000433, Rec Loss: 0.000433, FC Loss: 0.000000
Epoch 115: Loss: 0.000470, Rec Loss: 0.000470, FC Loss: 0.000000
Epoch 116: Loss: 0.000441, Rec Loss: 0.000441, FC Loss: 0.000000
Epoch 117: Loss: 0.000423, Rec Loss: 0.000423, FC Loss: 0.000000
Epoch 118: Loss: 0.000447, Rec Loss: 0.000447, FC Loss: 0.000000
Epoch 119: Loss: 0.000453, Rec Loss: 0.000453, FC Loss: 0.000000
Epoch 120: Loss: 0.000445, Rec Loss: 0.000445, FC Loss: 0.000000
Epoch 121: Loss: 0.000417, Rec Loss: 0.000417, FC Loss: 0.000000
