Epoch 76: Loss: 0.000436, Rec Loss: 0.000436, FC Loss: 0.000000
Epoch 77: Loss: 0.000512, Rec Loss: 0.000512, FC Loss: 0.000000
Epoch 78: Loss: 0.000405, Rec Loss: 0.000405, FC Loss: 0.000000
Epoch 79: Loss: 0.000466, Rec Loss: 0.000466, FC Loss: 0.000000
Epoch 80: Loss: 0.000421, Rec Loss: 0.000421, FC Loss: 0.000000
Epoch 81: Loss: 0.000450, Rec Loss: 0.000450, FC Loss: 0.000000
Epoch 82: Loss: 0.000429, Rec Loss: 0.000429, FC Loss: 0.000000
Epoch 83: Loss: 0.000446, Rec Loss: 0.000446, FC Loss: 0.000000
Epoch 84: Loss: 0.000442, Rec Loss: 0.000442, FC Loss: 0.000000
Epoch 85: Loss: 0.000457, Rec Loss: 0.000457, FC Loss: 0.000000
Epoch 86: Loss: 0.000391, Rec Loss: 0.000391, FC Loss: 0.000000
Epoch 87: Loss: 0.000414, Rec Loss: 0.000414, FC Loss: 0.000000
Epoch 88: Loss: 0.000477, Rec Loss: 0.000477, FC Loss: 0.000000
Epoch 89: Loss: 0.000414, Rec Loss: 0.000414, FC Loss: 0.000000
Epoch 90: Loss: 0.000381, Rec Loss: 0.000381, FC Loss: 0.000000
Epoch 91: Loss: 0.000412, Rec Loss: 0.000412, FC Loss: 0.000000
Epoch 92: Loss: 0.000407, Rec Loss: 0.000407, FC Loss: 0.000000
Epoch 93: Loss: 0.000437, Rec Loss: 0.000437, FC Loss: 0.000000
Epoch 94: Loss: 0.000403, Rec Loss: 0.000403, FC Loss: 0.000000
Epoch 95: Loss: 0.000392, Rec Loss: 0.000392, FC Loss: 0.000000
Epoch 96: Loss: 0.000390, Rec Loss: 0.000390, FC Loss: 0.000000
Epoch 97: Loss: 0.000389, Rec Loss: 0.000389, FC Loss: 0.000000
Epoch 98: Loss: 0.000390, Rec Loss: 0.000390, FC Loss: 0.000000
Epoch 99: Loss: 0.000413, Rec Loss: 0.000413, FC Loss: 0.000000
Epoch 100: Loss: 0.000378, Rec Loss: 0.000378, FC Loss: 0.000000
Epoch 101: Loss: 0.000409, Rec Loss: 0.000409, FC Loss: 0.000000
Epoch 102: Loss: 0.000393, Rec Loss: 0.000393, FC Loss: 0.000000
Epoch 103: Loss: 0.000365, Rec Loss: 0.000365, FC Loss: 0.000000
Epoch 104: Loss: 0.000372, Rec Loss: 0.000372, FC Loss: 0.000000
Epoch 105: Loss: 0.000375, Rec Loss: 0.000375, FC Loss: 0.000000
Epoch 106: Loss: 0.000364, Rec Loss: 0.000364, FC Loss: 0.000000
Epoch 107: Loss: 0.000403, Rec Loss: 0.000403, FC Loss: 0.000000
Epoch 108: Loss: 0.000398, Rec Loss: 0.000398, FC Loss: 0.000000
Epoch 109: Loss: 0.000357, Rec Loss: 0.000357, FC Loss: 0.000000
Epoch 110: Loss: 0.000360, Rec Loss: 0.000360, FC Loss: 0.000000
Epoch 111: Loss: 0.000368, Rec Loss: 0.000368, FC Loss: 0.000000
Epoch 112: Loss: 0.000351, Rec Loss: 0.000351, FC Loss: 0.000000
Epoch 113: Loss: 0.000420, Rec Loss: 0.000420, FC Loss: 0.000000
