Epoch 76: Loss: 0.000517, Rec Loss: 0.000517, FC Loss: 0.000000
Epoch 77: Loss: 0.000573, Rec Loss: 0.000573, FC Loss: 0.000000
Epoch 78: Loss: 0.000512, Rec Loss: 0.000512, FC Loss: 0.000000
Epoch 79: Loss: 0.000531, Rec Loss: 0.000531, FC Loss: 0.000000
Epoch 80: Loss: 0.000532, Rec Loss: 0.000532, FC Loss: 0.000000
Epoch 81: Loss: 0.000517, Rec Loss: 0.000517, FC Loss: 0.000000
Epoch 82: Loss: 0.000535, Rec Loss: 0.000535, FC Loss: 0.000000
Epoch 83: Loss: 0.000511, Rec Loss: 0.000511, FC Loss: 0.000000
Epoch 84: Loss: 0.000550, Rec Loss: 0.000550, FC Loss: 0.000000
Epoch 85: Loss: 0.000512, Rec Loss: 0.000512, FC Loss: 0.000000
Epoch 86: Loss: 0.000524, Rec Loss: 0.000524, FC Loss: 0.000000
Epoch 87: Loss: 0.000485, Rec Loss: 0.000485, FC Loss: 0.000000
Epoch 88: Loss: 0.000500, Rec Loss: 0.000500, FC Loss: 0.000000
Epoch 89: Loss: 0.000545, Rec Loss: 0.000545, FC Loss: 0.000000
Epoch 90: Loss: 0.000496, Rec Loss: 0.000496, FC Loss: 0.000000
Epoch 91: Loss: 0.000510, Rec Loss: 0.000510, FC Loss: 0.000000
Epoch 92: Loss: 0.000478, Rec Loss: 0.000478, FC Loss: 0.000000
Epoch 93: Loss: 0.000507, Rec Loss: 0.000507, FC Loss: 0.000000
Epoch 94: Loss: 0.000478, Rec Loss: 0.000478, FC Loss: 0.000000
Epoch 95: Loss: 0.000491, Rec Loss: 0.000491, FC Loss: 0.000000
Epoch 96: Loss: 0.000493, Rec Loss: 0.000493, FC Loss: 0.000000
Epoch 97: Loss: 0.000496, Rec Loss: 0.000496, FC Loss: 0.000000
Epoch 98: Loss: 0.000490, Rec Loss: 0.000490, FC Loss: 0.000000
Epoch 99: Loss: 0.000486, Rec Loss: 0.000486, FC Loss: 0.000000
Epoch 100: Loss: 0.000460, Rec Loss: 0.000460, FC Loss: 0.000000
Epoch 101: Loss: 0.000466, Rec Loss: 0.000466, FC Loss: 0.000000
Epoch 102: Loss: 0.000523, Rec Loss: 0.000523, FC Loss: 0.000000
Epoch 103: Loss: 0.000483, Rec Loss: 0.000483, FC Loss: 0.000000
Epoch 104: Loss: 0.000477, Rec Loss: 0.000477, FC Loss: 0.000000
Epoch 105: Loss: 0.000484, Rec Loss: 0.000484, FC Loss: 0.000000
Epoch 106: Loss: 0.000460, Rec Loss: 0.000460, FC Loss: 0.000000
Epoch 107: Loss: 0.000468, Rec Loss: 0.000468, FC Loss: 0.000000
Epoch 108: Loss: 0.000486, Rec Loss: 0.000486, FC Loss: 0.000000
Epoch 109: Loss: 0.000453, Rec Loss: 0.000453, FC Loss: 0.000000
Epoch 110: Loss: 0.000484, Rec Loss: 0.000484, FC Loss: 0.000000
Epoch 111: Loss: 0.000440, Rec Loss: 0.000440, FC Loss: 0.000000
Epoch 112: Loss: 0.000459, Rec Loss: 0.000459, FC Loss: 0.000000
Epoch 113: Loss: 0.000475, Rec Loss: 0.000475, FC Loss: 0.000000
Epoch 114: Loss: 0.000482, Rec Loss: 0.000482, FC Loss: 0.000000
Epoch 115: Loss: 0.000465, Rec Loss: 0.000465, FC Loss: 0.000000
Epoch 116: Loss: 0.000464, Rec Loss: 0.000464, FC Loss: 0.000000
Epoch 117: Loss: 0.000446, Rec Loss: 0.000446, FC Loss: 0.000000
Epoch 118: Loss: 0.000446, Rec Loss: 0.000446, FC Loss: 0.000000
Epoch 119: Loss: 0.000490, Rec Loss: 0.000490, FC Loss: 0.000000
Epoch 120: Loss: 0.000423, Rec Loss: 0.000423, FC Loss: 0.000000
Epoch 121: Loss: 0.000438, Rec Loss: 0.000438, FC Loss: 0.000000
Epoch 122: Loss: 0.000488, Rec Loss: 0.000488, FC Loss: 0.000000
Epoch 123: Loss: 0.000424, Rec Loss: 0.000424, FC Loss: 0.000000
Epoch 124: Loss: 0.000470, Rec Loss: 0.000470, FC Loss: 0.000000
Epoch 125: Loss: 0.000443, Rec Loss: 0.000443, FC Loss: 0.000000
