Epoch 76: Loss: 0.000406, Rec Loss: 0.000405, FC Loss: 0.000000
Epoch 77: Loss: 0.000383, Rec Loss: 0.000382, FC Loss: 0.000000
Epoch 78: Loss: 0.000426, Rec Loss: 0.000426, FC Loss: 0.000000
Epoch 79: Loss: 0.000402, Rec Loss: 0.000401, FC Loss: 0.000000
Epoch 80: Loss: 0.000377, Rec Loss: 0.000376, FC Loss: 0.000000
Epoch 81: Loss: 0.000393, Rec Loss: 0.000392, FC Loss: 0.000000
Epoch 82: Loss: 0.000391, Rec Loss: 0.000390, FC Loss: 0.000000
Epoch 83: Loss: 0.000400, Rec Loss: 0.000400, FC Loss: 0.000000
Epoch 84: Loss: 0.000405, Rec Loss: 0.000405, FC Loss: 0.000000
Epoch 85: Loss: 0.000397, Rec Loss: 0.000396, FC Loss: 0.000000
Epoch 86: Loss: 0.000371, Rec Loss: 0.000371, FC Loss: 0.000000
Epoch 87: Loss: 0.000375, Rec Loss: 0.000375, FC Loss: 0.000000
Epoch 88: Loss: 0.000399, Rec Loss: 0.000399, FC Loss: 0.000000
Epoch 89: Loss: 0.000377, Rec Loss: 0.000377, FC Loss: 0.000000
Epoch 90: Loss: 0.000364, Rec Loss: 0.000363, FC Loss: 0.000000
Epoch 91: Loss: 0.000370, Rec Loss: 0.000370, FC Loss: 0.000000
Epoch 92: Loss: 0.000375, Rec Loss: 0.000375, FC Loss: 0.000000
Epoch 93: Loss: 0.000366, Rec Loss: 0.000365, FC Loss: 0.000000
Epoch 94: Loss: 0.000357, Rec Loss: 0.000357, FC Loss: 0.000000
Epoch 95: Loss: 0.000355, Rec Loss: 0.000355, FC Loss: 0.000000
Epoch 96: Loss: 0.000374, Rec Loss: 0.000373, FC Loss: 0.000000
Epoch 97: Loss: 0.000384, Rec Loss: 0.000384, FC Loss: 0.000000
Epoch 98: Loss: 0.000355, Rec Loss: 0.000354, FC Loss: 0.000000
Epoch 99: Loss: 0.000359, Rec Loss: 0.000359, FC Loss: 0.000000
Epoch 100: Loss: 0.000336, Rec Loss: 0.000336, FC Loss: 0.000000
Epoch 101: Loss: 0.000373, Rec Loss: 0.000373, FC Loss: 0.000000
Epoch 102: Loss: 0.000368, Rec Loss: 0.000367, FC Loss: 0.000000
Epoch 103: Loss: 0.000332, Rec Loss: 0.000332, FC Loss: 0.000000
Epoch 104: Loss: 0.000351, Rec Loss: 0.000350, FC Loss: 0.000000
Epoch 105: Loss: 0.000367, Rec Loss: 0.000367, FC Loss: 0.000000
Epoch 106: Loss: 0.000343, Rec Loss: 0.000343, FC Loss: 0.000000
Epoch 107: Loss: 0.000329, Rec Loss: 0.000328, FC Loss: 0.000000
Epoch 108: Loss: 0.000338, Rec Loss: 0.000337, FC Loss: 0.000000
Epoch 109: Loss: 0.000356, Rec Loss: 0.000356, FC Loss: 0.000000
Epoch 110: Loss: 0.000334, Rec Loss: 0.000334, FC Loss: 0.000000
Epoch 111: Loss: 0.000330, Rec Loss: 0.000330, FC Loss: 0.000000
Epoch 112: Loss: 0.000356, Rec Loss: 0.000355, FC Loss: 0.000000
Epoch 113: Loss: 0.000352, Rec Loss: 0.000352, FC Loss: 0.000000
Epoch 114: Loss: 0.000306, Rec Loss: 0.000306, FC Loss: 0.000000
Epoch 115: Loss: 0.000346, Rec Loss: 0.000346, FC Loss: 0.000000
Epoch 116: Loss: 0.000330, Rec Loss: 0.000330, FC Loss: 0.000000
Epoch 117: Loss: 0.000333, Rec Loss: 0.000333, FC Loss: 0.000000
Epoch 118: Loss: 0.000325, Rec Loss: 0.000325, FC Loss: 0.000000
Epoch 119: Loss: 0.000343, Rec Loss: 0.000343, FC Loss: 0.000000
Epoch 120: Loss: 0.000297, Rec Loss: 0.000297, FC Loss: 0.000000
Epoch 121: Loss: 0.000352, Rec Loss: 0.000352, FC Loss: 0.000000
Epoch 122: Loss: 0.000321, Rec Loss: 0.000321, FC Loss: 0.000000
Epoch 123: Loss: 0.000329, Rec Loss: 0.000329, FC Loss: 0.000000
Epoch 124: Loss: 0.000313, Rec Loss: 0.000313, FC Loss: 0.000000
Epoch 125: Loss: 0.000313, Rec Loss: 0.000313, FC Loss: 0.000000
Epoch 126: Loss: 0.000323, Rec Loss: 0.000322, FC Loss: 0.000000
Epoch 127: Loss: 0.000298, Rec Loss: 0.000298, FC Loss: 0.000000
Epoch 128: Loss: 0.000323, Rec Loss: 0.000323, FC Loss: 0.000000
Epoch 129: Loss: 0.000319, Rec Loss: 0.000318, FC Loss: 0.000000
Epoch 130: Loss: 0.000310, Rec Loss: 0.000309, FC Loss: 0.000000
Epoch 131: Loss: 0.000310, Rec Loss: 0.000310, FC Loss: 0.000000
Epoch 132: Loss: 0.000305, Rec Loss: 0.000305, FC Loss: 0.000000
Epoch 133: Loss: 0.000321, Rec Loss: 0.000321, FC Loss: 0.000000
Epoch 134: Loss: 0.000336, Rec Loss: 0.000336, FC Loss: 0.000000
Epoch 135: Loss: 0.000288, Rec Loss: 0.000288, FC Loss: 0.000000
Epoch 136: Loss: 0.000304, Rec Loss: 0.000304, FC Loss: 0.000000
Epoch 137: Loss: 0.000313, Rec Loss: 0.000313, FC Loss: 0.000000
Epoch 138: Loss: 0.000299, Rec Loss: 0.000299, FC Loss: 0.000000
Epoch 139: Loss: 0.000309, Rec Loss: 0.000309, FC Loss: 0.000000
Epoch 140: Loss: 0.000296, Rec Loss: 0.000295, FC Loss: 0.000000
Epoch 141: Loss: 0.000292, Rec Loss: 0.000291, FC Loss: 0.000000
Epoch 142: Loss: 0.000304, Rec Loss: 0.000303, FC Loss: 0.000000
Epoch 143: Loss: 0.000308, Rec Loss: 0.000308, FC Loss: 0.000000
Epoch 144: Loss: 0.000296, Rec Loss: 0.000296, FC Loss: 0.000000
Epoch 145: Loss: 0.000291, Rec Loss: 0.000291, FC Loss: 0.000000
Epoch 146: Loss: 0.000290, Rec Loss: 0.000290, FC Loss: 0.000000
Epoch 147: Loss: 0.000310, Rec Loss: 0.000309, FC Loss: 0.000000
Epoch 148: Loss: 0.000286, Rec Loss: 0.000285, FC Loss: 0.000000
Epoch 149: Loss: 0.000282, Rec Loss: 0.000282, FC Loss: 0.000000
Epoch 150: Loss: 0.000297, Rec Loss: 0.000297, FC Loss: 0.000000
Epoch 151: Loss: 0.000294, Rec Loss: 0.000293, FC Loss: 0.000000
Epoch 152: Loss: 0.000287, Rec Loss: 0.000287, FC Loss: 0.000000
Epoch 153: Loss: 0.000294, Rec Loss: 0.000293, FC Loss: 0.000000
Epoch 154: Loss: 0.000299, Rec Loss: 0.000299, FC Loss: 0.000000
Epoch 155: Loss: 0.000286, Rec Loss: 0.000285, FC Loss: 0.000000
Epoch 156: Loss: 0.000290, Rec Loss: 0.000290, FC Loss: 0.000000
Epoch 157: Loss: 0.000280, Rec Loss: 0.000279, FC Loss: 0.000000
Epoch 158: Loss: 0.000281, Rec Loss: 0.000281, FC Loss: 0.000000
Epoch 159: Loss: 0.000303, Rec Loss: 0.000303, FC Loss: 0.000000
Epoch 160: Loss: 0.000272, Rec Loss: 0.000271, FC Loss: 0.000000
Epoch 161: Loss: 0.000286, Rec Loss: 0.000286, FC Loss: 0.000000
Epoch 162: Loss: 0.000287, Rec Loss: 0.000287, FC Loss: 0.000000
Epoch 163: Loss: 0.000274, Rec Loss: 0.000274, FC Loss: 0.000000
Epoch 164: Loss: 0.000293, Rec Loss: 0.000293, FC Loss: 0.000000
Epoch 165: Loss: 0.000287, Rec Loss: 0.000287, FC Loss: 0.000000
Epoch 166: Loss: 0.000272, Rec Loss: 0.000272, FC Loss: 0.000000
Epoch 167: Loss: 0.000290, Rec Loss: 0.000290, FC Loss: 0.000000
Epoch 168: Loss: 0.000268, Rec Loss: 0.000267, FC Loss: 0.000000
Epoch 169: Loss: 0.000289, Rec Loss: 0.000289, FC Loss: 0.000000
Epoch 170: Loss: 0.000272, Rec Loss: 0.000272, FC Loss: 0.000000
Epoch 171: Loss: 0.000276, Rec Loss: 0.000275, FC Loss: 0.000000
Epoch 172: Loss: 0.000278, Rec Loss: 0.000278, FC Loss: 0.000000
Epoch 173: Loss: 0.000271, Rec Loss: 0.000270, FC Loss: 0.000000
Epoch 174: Loss: 0.000288, Rec Loss: 0.000288, FC Loss: 0.000000
Epoch 175: Loss: 0.000258, Rec Loss: 0.000258, FC Loss: 0.000000
